날짜,경기선행지수,건설업주가지수,소비자물가지수,생산산업지수,종가,국고채 3년,종가,국내총생산(명목GDP),경제성장률(실질GDP성장률)
2016-08-01,100.7929,116.32,95.677,94.0,"1,202.12",1.24,2034.65,439479.8,2.8
2016-09-01,100.9069,117.8,96.247,94.8,"1,108.50",1.31,2043.63,439479.8,2.8
2016-10-01,101.0114,114.46,96.379,97.1,"1,132.80",1.36,2008.19,453268.4,2.6
2016-11-01,101.1255,105.54,96.237,99.0,"1,160.00",1.61,1983.48,453268.4,2.6
2016-12-01,101.2617,111.43,96.342,108.0,"1,158.90",1.69,2026.46,453268.4,2.6
2017-01-01,101.4039,109.47,97.366,92.7,"1,166.08",1.64,2067.57,433086.1,3.1
2017-02-01,101.5303,118.12,97.632,91.8,"1,163.40",1.67,2091.64,433086.1,3.1
2017-03-01,101.6194,120.23,97.565,102.0,"1,186.60",1.71,2160.23,433086.1,3.1
2017-04-01,101.6569,121.12,97.442,97.1,"1,176.50",1.68,2205.44,454226.7,2.8
2017-05-01,101.6419,127.87,97.546,98.1,"1,249.50",1.7,2347.38,454226.7,2.8
2017-06-01,101.584,121.8,97.338,101.3,"1,222.70",1.67,2391.79,454226.7,2.8
2017-07-01,101.4796,121.8,97.499,97.3,"1,274.80",1.74,2402.71,473427.5,3.9
2017-08-01,101.3383,110.54,98.058,96.3,"1,258.25",1.78,2363.19,473427.5,3.9
2017-09-01,101.17,105.23,98.172,102.2,"1,278.00",1.79,2394.47,473427.5,3.9
2017-10-01,100.9822,107.41,98.077,94.9,"1,374.05",2.03,2523.43,474957.9,2.9
2017-11-01,100.7704,102.08,97.347,101.0,"1,533.45",2.15,2476.37,474957.9,2.9
2017-12-01,100.5577,103.47,97.698,107.7,"1,381.50",2.1,2467.49,474957.9,2.9
2018-01-01,100.3735,113.87,98.106,97.2,"1,263.00",2.19,2566.46,449357.8,2.9
2018-02-01,100.2266,101.87,98.855,91.3,"1,469.00",2.28,2427.36,449357.8,2.9
2018-03-01,100.1012,107.74,98.751,101.9,"1,282.50",2.27,2445.85,449357.8,2.9
2018-04-01,99.99363,136.84,98.931,99.7,"1,206.95",2.19,2515.38,472929.4,3.1
2018-05-01,99.89176,145.69,98.979,100.2,"1,089.25",2.25,2423.01,472929.4,3.1
2018-06-01,99.7807,120.47,98.779,102.6,"1,012.25",2.18,2326.13,472929.4,3.1
2018-07-01,99.6664,120.04,98.59,100.0,"1,051.00",2.1,2295.26,485723.8,2.4
2018-08-01,99.55738,121.21,99.462,98.6,"1,028.25",2.02,2322.88,485723.8,2.4
2018-09-01,99.4509,125.98,100.221,97.8,"1,003.00",1.95,2343.07,485723.8,2.4
2018-10-01,99.34635,97.27,100.041,102.2,990.35,2.01,2029.69,490181.6,3.2
2018-11-01,99.25956,109.17,99.33,101.3,939.05,1.94,2096.86,490181.6,3.2
2018-12-01,99.20256,112.6,98.988,108.2,943.85,1.83,2041.04,490181.6,3.2
2019-01-01,99.15974,121.54,98.884,98.3,936,1.81,2204.85,455551.1,1.9
2019-02-01,99.11896,113.32,99.311,89.6,921.15,1.8,2195.44,455551.1,1.9
2019-03-01,99.05398,111.53,99.121,101.4,900.8,1.79,2140.67,455551.1,1.9
2019-04-01,98.95607,111.29,99.481,100.8,915.15,1.74,2203.59,480832.1,2.3
2019-05-01,98.85057,108.39,99.652,102.1,938.35,1.68,2041.74,480832.1,2.3
2019-06-01,98.75549,113.78,99.491,102.0,919.35,1.5,2130.62,480832.1,2.3
2019-07-01,98.66432,98.33,99.187,101.4,923.9,1.38,2024.55,488771.2,2.1
2019-08-01,98.60276,94.16,99.425,99.2,927.75,1.16,1967.79,488771.2,2.1
2019-09-01,98.58587,100.16,99.794,99.0,930.85,1.29,2063.05,488771.2,2.1
2019-10-01,98.62304,93.38,100.041,102.9,940.85,1.36,2083.48,499343.6,2.7
2019-11-01,98.70199,91.72,99.481,103.4,941.7,1.49,2087.96,499343.6,2.7
2019-12-01,98.79444,94.07,99.719,112.9,941.5,1.39,2197.67,499343.6,2.7
2020-01-01,98.8603,86.48,100.09,98.1,930,1.37,2119.01,459774.2,1.4
2020-02-01,98.91479,78.51,100.16,94.4,929.35,1.25,1987.01,459774.2,1.4
2020-03-01,98.97602,67.87,99.94,102.2,942.25,1.09,1754.64,459774.2,1.4
2020-04-01,99.06883,84.0,99.5,95.4,946.25,1.02,1947.56,475617.4,-2.6
2020-05-01,99.21474,86.23,99.44,95.9,961.3,0.88,2029.6,475617.4,-2.6
2020-06-01,99.44671,80.95,99.71,102.4,955.15,0.85,2108.33,475617.4,-2.6
2020-07-01,99.75529,85.79,99.63,99.0,948.75,0.83,2249.37,496391.7,-0.9
2020-08-01,100.1197,85.82,100.19,95.4,945.7,0.83,2326.17,496391.7,-0.9
2020-09-01,100.5125,82.89,100.74,101.9,943.2,0.91,2327.89,496391.7,-0.9
2020-10-01,100.9063,85.12,100.18,99.5,971.6,0.91,2267.15,508943.0,-0.7
2020-11-01,101.2928,94.72,100.09,102.7,971,0.97,2591.34,508943.0,-0.7
2020-12-01,101.6703,106.2,100.33,113.2,959.87,0.97,2873.47,508943.0,-0.7
2021-01-01,102.0416,107.25,101.04,98.0,"1,007.50",0.98,2976.21,484679.0,2.4
2021-02-01,102.3832,107.65,101.58,94.5,"1,037.50",1.0,3012.95,484679.0,2.4
2021-03-01,102.6677,118.68,101.84,108.1,"1,043.40",1.13,3061.42,484679.0,2.4
2021-04-01,102.8616,127.11,101.98,103.6,"1,043.50",1.14,3147.86,517054.3,6.4
2021-05-01,102.9132,137.46,102.05,103.5,"1,038.50",1.13,3203.92,517054.3,6.4
2021-06-01,102.8042,138.57,102.05,109.9,"1,023.30",1.3,3296.68,517054.3,6.4
2021-07-01,102.5648,135.61,102.26,104.0,"1,035.50",1.42,3202.32,531525.5,4.1
2021-08-01,102.2452,134.35,102.75,101.4,"1,007.50",1.41,3199.27,531525.5,4.1
2021-09-01,101.8856,130.08,103.17,104.4,997.1,1.52,3068.82,531525.5,4.1
2021-10-01,101.5368,125.71,103.35,105.2,"1,017.50",1.84,2970.68,546939.7,4.3
2021-11-01,101.2459,108.52,103.87,109.0,"1,004.50",1.95,2839.01,546939.7,4.3
2021-12-01,101.0236,115.08,104.04,122.2,"1,026.50",1.8,2977.65,546939.7,4.3
2022-01-01,100.8454,105.3,104.85,104.5,"1,035.20",2.06,2663.34,512012.9,3.1
2022-02-01,100.7044,112.68,105.42,99.0,"1,048.50",2.29,2699.18,512012.9,3.1
2022-03-01,100.5896,123.19,106.1,112.7,"1,119.50",2.37,2757.65,512012.9,3.1
2022-04-01,100.4771,116.09,106.83,109.5,"1,151.50",2.94,2695.05,544239.8,2.9
2022-05-01,100.3391,108.47,107.5,111.2,"1,151.85",3.02,2685.9,544239.8,2.9
2022-06-01,100.1646,95.48,108.21,114.2,"1,166.50",3.48,2332.64,544239.8,2.9
2022-07-01,99.96639,94.29,108.73,110.1,"1,154.50",3.24,2451.5,548892.5,3.2
2022-08-01,99.75011,97.46,108.63,107.9,"1,160.05",3.25,2472.05,548892.5,3.2
2022-09-01,99.48739,77.12,108.82,109.1,"1,173.35",3.9,2155.49,548892.5,3.2
2022-10-01,99.17676,72.67,109.16,109.2,"1,143.00",4.24,2293.61,556628.7,1.4
2022-11-01,98.85669,85.39,109.07,110.4,"1,178.50",3.9,2472.53,556628.7,1.4
2022-12-01,98.5883,73.6,109.26,123.0,"1,171.50",3.63,2236.4,556628.7,1.4
2023-01-01,98.40572,80.05,110.07,102.9,"1,192.50",3.46,2425.08,523816.2,0.9
2023-02-01,98.3458,75.37,110.33,102.4,"1,202.05",3.47,2412.85,523816.2,0.9
2023-03-01,98.4164,73.95,110.52,114.9,"1,183.50",3.46,2476.86,523816.2,0.9
2023-04-01,98.58697,77.74,110.77,108.4,"1,149.00",3.26,2501.53,551569.1,0.9
2023-05-01,98.82563,77.45,111.13,109.6,"1,174.50",3.33,2577.12,551569.1,0.9
2023-06-01,99.08222,76.18,111.16,114.9,"1,180.50",3.55,2564.28,551569.1,0.9
2023-07-01,99.29905,73.16,111.29,108.6,"1,195.00",3.64,2632.58,,
2023-08-01,99.48109,71.8,112.28,109.2,"1,209.00",3.73,2556.27,,
2023-09-01,99.63481,70.4,112.83,112.0,"1,214.50",3.84,2465.07,,
2023-10-01,99.76933,67.47,113.26,110.2,"1,251.00",4.03,2277.99,,
2023-11-01,99.89445,75.19,112.67,113.5,"1,193.65",3.77,2535.29,,
2023-12-01,100.0168,71.39,112.71,124.4,"1,164.00",3.35,2655.28,,
