날짜,동|면적,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2011년 10월,동(호),6067,43,85,92,207,98,197,178,442,130,255,502,256,117,265,329,280,596,103,197,190,183,308,357,365,292
,면적,467,3,8,9,21,8,15,13,36,10,17,31,22,8,21,25,20,45,8,16,15,13,26,30,29,22
2011년 11월,동(호),5643,49,210,109,177,100,233,161,274,121,214,481,228,130,195,307,281,376,86,193,236,147,271,355,408,301
,면적,438,4,17,10,15,8,19,11,22,9,15,30,19,10,16,25,20,26,6,15,19,11,24,31,35,21
2011년 12월,동(호),7918,80,134,145,220,149,252,195,361,192,273,648,336,169,362,351,377,579,95,313,457,215,388,712,471,444
,면적,617,6,12,12,21,13,20,14,29,14,19,41,27,13,30,29,28,38,7,23,37,16,36,63,39,33
2012년 01월,동(호),2959,21,403,36,80,52,140,58,110,70,70,142,210,52,55,67,97,97,49,107,181,49,248,279,161,125
,면적,230,1,34,3,7,5,11,4,9,5,5,8,14,4,4,6,7,6,4,7,15,3,25,23,12,9
2012년 02월,동(호),4628,36,70,66,152,72,288,121,319,82,166,322,245,103,143,199,193,226,50,202,213,212,276,245,330,297
,면적,332,2,6,6,12,6,15,9,26,6,12,19,18,8,11,17,13,15,4,11,15,9,24,21,25,21
2012년 03월,동(호),5339,33,293,115,150,134,221,164,259,94,202,410,259,210,178,224,222,244,90,229,192,184,245,343,335,309
,면적,398,3,25,10,12,13,15,13,21,7,13,25,20,11,14,19,16,17,6,13,15,12,23,28,27,21
2012년 04월,동(호),5440,62,305,88,165,145,333,155,273,100,221,397,226,151,194,250,215,227,81,192,183,177,210,391,414,285
,면적,415,6,30,9,14,12,26,11,21,8,15,24,18,12,16,19,15,16,6,13,15,11,21,27,29,21
2012년 05월,동(호),5099,52,162,77,143,237,184,174,248,78,185,378,140,123,165,214,225,249,78,216,193,199,187,375,354,463
,면적,368,4,14,8,12,21,14,13,19,6,12,23,11,9,13,17,16,14,5,16,16,11,18,28,26,23
2012년 06월,동(호),4427,45,88,88,123,151,149,181,280,73,178,346,120,102,196,214,197,224,84,221,174,129,181,259,345,279
