날짜,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2010-02-01,26.885845610111797,23.777308951163224,44.863039012231866,38.34640585220841,31.59817440194086,28.559507482909126,31.169706539128363,25.82427600877445,28.747055723275967,29.30644273181075,41.30346290314861,31.240809903899358,28.72661341484686,38.006886397661695,41.82793611321712,36.48305097315116,30.338490131129607,36.93104776623559,42.797995010785854,36.32881148587871,31.094912699993728,44.80453218463934,44.07514082237591,43.91927313627504,44.01417045471818
2010-03-01,26.90035314581895,23.898058385592464,44.90348769668961,38.33539643077675,31.62984965592376,28.589378758512574,31.125693003126486,25.62799938526943,28.84719621489806,29.249373387436094,41.159923301435434,31.017211730881606,28.683613250845525,38.05079914332993,41.82214672262972,36.19111838912107,30.290819820732533,37.05094341205592,42.662967798862375,36.38511970101555,31.002775206748147,44.84257488071323,44.0679687566805,43.85421831139164,43.96975750422359
2010-04-01,26.826697315278043,23.928218346738333,44.864572360531135,38.253280350376976,31.6043099387876,28.59334675727034,31.085025212412592,25.48964588744742,28.677760204560425,29.11266801904211,40.709435999846406,30.913329292865637,28.657837069196333,37.964486962210145,41.687757774523014,36.05755050181793,30.26142461525554,37.18595833158843,42.62422250007126,36.398504173166806,30.826038203129418,44.7774987778611,44.019549969230205,43.754198729871916,43.73031793104099
2010-05-01,26.75596250843222,23.848336303477893,44.800892847879545,38.1769629983413,31.56897551151704,28.575350154109607,31.02951482418128,25.11766463130913,28.358530281407596,28.817619914625038,40.37791755860025,30.819920094443265,28.609016979904073,37.784302144249246,41.4387023859635,35.710136481438084,30.218837188341176,37.049468009133,42.55677543986566,36.32268229582702,30.573185067571828,44.56351609899698,43.61094247350653,43.51410139357424,43.201512303387055
2010-06-01,26.758682831264313,23.69205900752886,44.55194550742435,37.947478785889935,31.461907709595405,28.38795375089519,30.954763063737712,24.599873200243564,27.980875607900053,27.73224841128358,39.83530566520778,30.260569559578798,28.42009770023767,37.75166073436585,41.10189626132348,35.364455274379836,30.047223323891302,36.806563031574996,41.996160626144466,36.15532852868377,30.265039803009458,44.258105670841985,43.2608957943995,43.0902510846325,42.91805078028864
2010-07-01,26.6012077124524,23.494883674391858,44.2894922660286,37.777809349536604,31.342154009274896,28.189424052277744,30.95040705042418,24.301950444004717,27.590199600934785,27.0000619714514,39.48474968016903,29.561948371637666,28.263174713398907,37.01825144944538,40.35467830529247,34.779366305263686,29.563361706697933,36.46665641138042,41.38651660142049,36.09366260075048,30.030356545381466,44.13634248632711,43.08359116308254,42.87666496200956,42.64985121658913
2010-08-01,26.269900759315064,23.29284271532238,43.93130496008025,37.71016946771359,31.180982098174592,28.059071982695478,30.799027837108827,23.947968038790126,27.495249211121415,26.117991579174067,39.17705272133736,29.117850635856662,27.81909301434985,36.90823512405043,39.73419312952881,34.476641717354426,29.373945429966884,36.11043983391277,41.07296976840066,36.01671305671027,29.83764679919006,44.04383579592747,42.71182909586595,42.45419204827292,42.29637099460107
2010-09-01,26.257342495600728,23.12985915189897,43.699011140649915,37.66427266173816,31.098385647445177,27.97986955785402,30.74736588981848,23.808896458595843,27.457983920929323,25.846092153581413,38.693106955531945,28.599521354791456,27.765115896614954,36.714116707564116,39.64923161406118,34.18658958007057,29.190752463057613,35.86871847745574,40.87918965616682,35.887542904253266,29.75318371959384,43.94354788121086,42.589379431804495,42.220659742307035,42.18129409831708
2010-10-01,26.20932979455109,23.05657255729314,43.52514091661075,37.47451034476289,30.96639344032297,27.91377643282168,30.674912176497475,23.637856258070688,27.148722218120124,25.598153530602662,38.375678663281235,28.32573778826633,27.65828128915764,36.609854097791555,39.514573278535764,33.872826744324,28.97006754660299,35.70435523414563,40.72505412024212,35.75398053588347,29.690263221267532,43.85451852654397,42.491352612310855,42.086730490224646,42.02195369180268
2010-11-01,26.154760100505364,23.009333546247365,43.144414362521026,37.25128600796484,30.649596432426467,27.816490254174415,30.689806476841337,23.585382574697427,26.790534030564338,25.438775051009838,38.255094097155116,28.166480164129325,27.46836598321355,36.601920472423245,39.383876292761755,33.771539060059766,28.630988829751153,35.139553557319516,40.57956388557146,35.43684377637583,29.57518079356246,43.79736747814599,42.33204961763784,41.99815555138706,42.198300167141866
2010-12-01,26.059743621268506,23.057826965417185,43.15002844499756,37.18029325429223,30.60105201801929,27.796183243673127,30.721474590667995,23.56405535858813,26.631863952941902,25.176819454581544,38.16279310870079,28.12126908910756,27.478294673984067,36.63244067359562,39.40295160094248,33.702184113846805,28.514786472485547,34.52678614362708,40.514200897964386,35.391022214519005,29.406938169391584,43.911600184421616,42.42437930600923,42.100713058949864,42.35026724859736
