,날짜,전국,서울,강북14개구,강남11개구,6개광역시,부산,대전,대구,인천,광주,울산,전국_label,서울_label,강북14개구_label,강남11개구_label,6개광역시_label,부산_label,대전_label,대구_label,인천_label,광주_label,울산_label
91,2010-10-01,28.509461968454964,37.80600635463888,33.41058193992996,39.91478761794121,21.816300517725058,22.768590414140203,11.119038828907204,26.673841330218117,14.966327443376407,23.324050458367125,26.215862635588245,1,0,-1,0,1,1,1,-1,1,1,1
92,2010-11-01,28.814101358135265,37.67027049188361,33.26454701810568,39.785473651879705,22.44498246449964,24.16963275790786,11.422248202621269,26.457283233659908,15.39652367575246,24.110727839026413,26.528678391000128,1,0,0,0,1,1,1,-1,1,1,1
93,2010-12-01,29.160774170829168,37.65132351105447,33.21054781961153,39.7918906509795,23.10717501216713,25.349174854252517,11.726698212378809,26.34512214110042,16.117491705001576,25.265360215732617,26.70376037083327,1,0,0,0,1,1,1,0,1,1,1
94,2011-01-01,29.54140831873138,37.68603987266579,33.19905637531579,39.86130509226152,23.77484558372475,26.49141957359869,12.108416734794975,26.303688986737427,16.82236098033311,26.15933566762196,27.10892009093228,1,0,-1,0,1,1,1,-1,1,1,1
95,2011-02-01,30.199800127139376,37.77072357606993,33.2218212882418,39.99467148092671,24.916055331305078,28.192519337226297,12.96022284782595,26.289457941211708,18.23171089087238,27.76818721622466,27.763915434703332,1,-1,-1,-1,1,1,1,-1,1,1,1
96,2011-03-01,30.9515214025429,37.73046220679189,33.14570490571212,39.98369788383698,26.178219824847528,30.01267413259336,14.054692014322304,26.270942796065967,19.93416921100949,29.20497310274009,28.759460081448307,1,-1,-1,-1,1,1,1,-1,1,1,1
97,2011-04-01,31.63261940753026,37.63846125942123,33.0485085081966,39.89710903426072,27.475855022362477,32.036786324022785,15.126132258434504,26.21783170662195,22.067378346387702,30.100372724847,29.52641253226155,1,-1,-1,-1,1,1,1,-1,1,1,1
98,2011-05-01,32.237266941526684,37.54066691322427,32.98555092908772,39.77380995897323,28.659299387809646,33.65453005241152,16.230346935937227,25.99394154891767,24.319971192941527,30.94554510005364,30.57676421491928,1,-1,-1,-1,1,1,1,-1,1,1,1
99,2011-06-01,32.6540702982945,37.43084613229266,32.90999864236507,39.63589643365463,29.52894013927496,34.63738635195699,17.096302422079766,25.882137124152788,25.81803050725084,32.465458632512615,31.69254077000757,1,-1,-1,-1,1,1,1,-1,1,1,1
100,2011-07-01,32.997757422381454,37.26331540322586,32.794042204414275,39.42584060509517,30.24699304873792,35.40233228032436,17.87944802442032,25.674335889454703,26.96396479292665,33.97300256622788,32.412583201781366,1,-1,-1,-1,1,1,1,-1,1,1,1
