날짜,동|면적,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
,면적,189,1,2,4,4,5,6,4,7,2,7,12,15,6,6,10,8,7,3,8,5,5,17,16,16,11
2010년 09월,동(호),2455,17,23,45,84,51,69,62,109,42,106,173,131,60,65,115,121,95,34,76,68,97,170,248,232,162
,면적,192,1,2,4,7,4,5,4,8,3,7,11,12,4,5,9,9,7,2,6,6,7,17,19,19,12
2010년 10월,동(호),3691,25,56,41,98,65,101,64,181,63,169,344,146,97,102,211,171,160,63,139,117,112,235,347,342,242
,면적,290,2,5,4,8,5,8,5,14,5,11,22,13,7,8,16,12,12,5,13,9,8,24,28,29,18
2010년 11월,동(호),5632,31,57,82,165,94,133,108,239,85,218,501,261,114,161,290,225,209,78,190,172,203,529,618,552,317
,면적,444,2,5,7,12,8,10,7,18,7,15,31,23,9,12,23,16,15,6,15,14,15,52,51,46,23
2010년 12월,동(호),7535,52,93,133,172,187,172,157,277,80,277,717,277,164,239,481,325,310,86,263,251,233,689,802,658,440
,면적,616,5,8,13,14,18,13,11,22,6,19,45,25,13,19,40,24,24,6,23,21,17,70,71,57,33
2011년 01월,동(호),5868,53,167,70,190,137,164,147,333,108,231,546,137,142,202,264,274,279,63,228,219,187,416,494,485,332
,면적,451,4,19,5,14,11,12,11,25,9,16,35,12,11,15,20,19,20,5,18,18,14,38,38,38,25
2011년 02월,동(호),6523,50,76,88,239,142,215,163,397,93,286,602,205,171,267,293,385,359,110,279,256,239,355,477,372,404
,면적,497,4,6,7,18,12,16,12,31,7,20,38,18,13,20,23,27,26,8,22,21,17,32,39,30,30
2011년 03월,동(호),7279,73,81,120,255,131,279,226,451,165,341,719,289,223,262,320,383,399,116,312,266,260,337,435,361,475
,면적,555,6,6,11,20,11,21,16,34,12,23,46,26,18,20,25,26,29,9,24,21,19,32,35,29,36
2011년 04월,동(호),5460,65,63,87,183,130,153,219,328,103,298,494,180,164,195,263,303,311,98,205,225,194,276,325,282,316
,면적,420,5,5,8,14,10,12,15,27,7,20,32,14,12,15,21,21,22,7,16,18,15,28,26,24,23
